date,period,value,field,symbol
2015-04-29,201501,-0.11477,YOYLiability,sh603018
2015-04-29,201501,0.44037,liabilityToAsset,sh603018
2015-04-29,201501,1.786896,assetToEquity,sh603018
2015-04-29,201501,-0.415251,CFOToOR,sh603018
2015-04-29,201501,-3.102361,CFOToNP,sh603018
2015-04-29,201501,-0.415251,CFOToGr,sh603018
2015-04-29,201501,1.191466,YOYEquity,sh603018
2015-04-29,201501,-0.084777,YOYNI,sh603018
2015-04-29,201501,-0.32,YOYEPSBasic,sh603018
2015-04-29,201501,-0.084531,YOYPNI,sh603018
2015-04-29,201501,0.021839,roeAvg,sh603018
2015-04-29,201501,0.13385,npMargin,sh603018
2015-04-29,201501,35754562.41,netProfit,sh603018
2015-04-29,201501,1.563671,epsTTM,sh603018
2015-04-29,201501,,MBRevenue,sh603018
2015-04-29,201501,104000000.0,totalShare,sh603018
2015-04-29,201501,26000000.0,liqaShare,sh603018
2015-04-29,201501,0.021839,dupontROE,sh603018
2015-04-29,201501,1.836408,dupontAssetStoEquity,sh603018
2015-04-29,201501,0.088792,dupontAssetTurn,sh603018
2015-04-29,201501,1.000642,dupontPnitoni,sh603018
2015-04-29,201501,0.13385,dupontNitogr,sh603018
2015-04-29,201501,0.841967,dupontTaxBurden,sh603018
2015-04-29,201501,0.088792,AssetTurnRatio,sh603018
2016-04-28,201601,0.381913,YOYLiability,sh603018
2016-04-28,201601,0.502101,liabilityToAsset,sh603018
2016-04-28,201601,2.008439,assetToEquity,sh603018
2016-04-28,201601,-0.12991,CFOToOR,sh603018
2016-04-28,201601,-1.07764,CFOToNP,sh603018
2016-04-28,201601,-0.12991,CFOToGr,sh603018
2016-04-28,201601,0.078146,YOYEquity,sh603018
2016-04-28,201601,0.156096,YOYNI,sh603018
2016-04-28,201601,0.176471,YOYEPSBasic,sh603018
2016-04-28,201601,0.155229,YOYPNI,sh603018
2016-04-28,201601,0.023419,roeAvg,sh603018
2016-04-28,201601,0.12055,npMargin,sh603018
2016-04-28,201601,41335700.72,netProfit,sh603018
2016-04-28,201601,1.594413,epsTTM,sh603018
2016-04-28,201601,,MBRevenue,sh603018
2016-04-28,201601,104000000.0,totalShare,sh603018
2016-04-28,201601,62932935.0,liqaShare,sh603018
2016-04-28,201601,0.023419,dupontROE,sh603018
2016-04-28,201601,2.071862,dupontAssetStoEquity,sh603018
2016-04-28,201601,0.093775,dupontAssetTurn,sh603018
2016-04-28,201601,0.999891,dupontPnitoni,sh603018
2016-04-28,201601,0.12055,dupontNitogr,sh603018
2016-04-28,201601,0.845997,dupontTaxBurden,sh603018
2016-04-28,201601,0.093775,AssetTurnRatio,sh603018
2017-04-28,201701,0.245565,YOYLiability,sh603018
2017-04-28,201701,0.530681,liabilityToAsset,sh603018
2017-04-28,201701,2.130747,assetToEquity,sh603018
2017-04-28,201701,-0.330376,CFOToOR,sh603018
2017-04-28,201701,-2.907153,CFOToNP,sh603018
2017-04-28,201701,-0.330376,CFOToGr,sh603018
2017-04-28,201701,0.092743,YOYEquity,sh603018
2017-04-28,201701,0.219864,YOYNI,sh603018
2017-04-28,201701,0.2,YOYEPSBasic,sh603018
2017-04-28,201701,0.186902,YOYPNI,sh603018
2017-04-28,201701,0.025463,roeAvg,sh603018
2017-04-28,201701,0.113642,npMargin,sh603018
2017-04-28,201701,50423946.39,netProfit,sh603018
2017-04-28,201701,1.046128,epsTTM,sh603018
2017-04-28,201701,,MBRevenue,sh603018
2017-04-28,201701,208000000.0,totalShare,sh603018
2017-04-28,201701,125865870.0,liqaShare,sh603018
2017-04-28,201701,0.025463,dupontROE,sh603018
2017-04-28,201701,2.228657,dupontAssetStoEquity,sh603018
2017-04-28,201701,0.103339,dupontAssetTurn,sh603018
