date,period,value,field,symbol
2014-04-30,201401,0.14743,YOYLiability,sz000402
2014-04-30,201401,0.700137,liabilityToAsset,sz000402
2014-04-30,201401,3.334855,assetToEquity,sz000402
2014-04-30,201401,-0.82149,CFOToOR,sz000402
2014-04-30,201401,-5.671328,CFOToNP,sz000402
2014-04-30,201401,-0.82149,CFOToGr,sz000402
2014-04-30,201401,0.114469,YOYEquity,sz000402
2014-04-30,201401,-0.116027,YOYNI,sz000402
2014-04-30,201401,-0.307692,YOYEPSBasic,sz000402
2014-04-30,201401,-0.309142,YOYPNI,sz000402
2014-04-30,201401,0.011946,roeAvg,sz000402
2014-04-30,201401,0.14485,npMargin,sz000402
2014-04-30,201401,349442980.86,netProfit,sz000402
2014-04-30,201401,0.915634,epsTTM,sz000402
2014-04-30,201401,,MBRevenue,sz000402
2014-04-30,201401,3027079809.0,totalShare,sz000402
2014-04-30,201401,3024393105.0,liqaShare,sz000402
2014-04-30,201401,0.011946,dupontROE,sz000402
2014-04-30,201401,3.539738,dupontAssetStoEquity,sz000402
2014-04-30,201401,0.030406,dupontAssetTurn,sz000402
2014-04-30,201401,0.766271,dupontPnitoni,sz000402
2014-04-30,201401,0.14485,dupontNitogr,sz000402
2014-04-30,201401,0.733417,dupontTaxBurden,sz000402
2014-04-30,201401,0.030406,AssetTurnRatio,sz000402
2015-04-29,201501,0.039996,YOYLiability,sz000402
2015-04-29,201501,0.674198,liabilityToAsset,sz000402
2015-04-29,201501,3.069347,assetToEquity,sz000402
2015-04-29,201501,-3.328948,CFOToOR,sz000402
2015-04-29,201501,-5.310969,CFOToNP,sz000402
2015-04-29,201501,-3.328948,CFOToGr,sz000402
2015-04-29,201501,0.1096,YOYEquity,sz000402
2015-04-29,201501,1.288882,YOYNI,sz000402
2015-04-29,201501,2.0,YOYEPSBasic,sz000402
2015-04-29,201501,1.978619,YOYPNI,sz000402
2015-04-29,201501,0.032399,roeAvg,sz000402
2015-04-29,201501,0.626806,npMargin,sz000402
2015-04-29,201501,799833767.31,netProfit,sz000402
2015-04-29,201501,1.15669,epsTTM,sz000402
2015-04-29,201501,,MBRevenue,sz000402
2015-04-29,201501,2988929907.0,totalShare,sz000402
2015-04-29,201501,2985983709.0,liqaShare,sz000402
2015-04-29,201501,0.032399,dupontROE,sz000402
2015-04-29,201501,3.591082,dupontAssetStoEquity,sz000402
2015-04-29,201501,0.014434,dupontAssetTurn,sz000402
2015-04-29,201501,0.997181,dupontPnitoni,sz000402
2015-04-29,201501,0.626806,dupontNitogr,sz000402
2015-04-29,201501,0.738266,dupontTaxBurden,sz000402
2015-04-29,201501,0.014434,AssetTurnRatio,sz000402
2016-04-30,201601,0.293759,YOYLiability,sz000402
2016-04-30,201601,0.723224,liabilityToAsset,sz000402
2016-04-30,201601,3.61303,assetToEquity,sz000402
2016-04-30,201601,-0.20699,CFOToOR,sz000402
2016-04-30,201601,-1.140594,CFOToNP,sz000402
2016-04-30,201601,-0.20699,CFOToGr,sz000402
2016-04-30,201601,0.049857,YOYEquity,sz000402
2016-04-30,201601,-0.024,YOYNI,sz000402
2016-04-30,201601,-0.037037,YOYEPSBasic,sz000402
2016-04-30,201601,-0.022101,YOYPNI,sz000402
2016-04-30,201601,0.030142,roeAvg,sz000402
2016-04-30,201601,0.181475,npMargin,sz000402
2016-04-30,201601,780637760.85,netProfit,sz000402
2016-04-30,201601,0.747946,epsTTM,sz000402
2016-04-30,201601,,MBRevenue,sz000402
2016-04-30,201601,2988929907.0,totalShare,sz000402
2016-04-30,201601,2986959935.0,liqaShare,sz000402
2016-04-30,201601,0.030142,dupontROE,sz000402
2016-04-30,201601,4.121203,dupontAssetStoEquity,sz000402
2016-04-30,201601,0.040337,dupontAssetTurn,sz000402
2016-04-30,201601,0.999121,dupontPnitoni,sz000402
2016-04-30,201601,0.181475,dupontNitogr,sz000402
2016-04-30,201601,0.727412,dupontTaxBurden,sz000402
2016-04-30,201601,0.040337,AssetTurnRatio,sz000402
2017-04-28,201701,0.109771,YOYLiability,sz000402
2017-04-28,201701,0.731765,liabilityToAsset,sz000402
2017-04-28,201701,3.72808,assetToEquity,sz000402
2017-04-28,201701,0.175818,CFOToOR,sz000402
2017-04-28,201701,1.67293,CFOToNP,sz000402
2017-04-28,201701,0.175818,CFOToGr,sz000402
2017-04-28,201701,0.078251,YOYEquity,sz000402
2017-04-28,201701,-0.293019,YOYNI,sz000402
2017-04-28,201701,-0.307692,YOYEPSBasic,sz000402
2017-04-28,201701,-0.309703,YOYPNI,sz000402
