code,pubDate,statDate,roeAvg,npMargin,gpMargin,netProfit,epsTTM,MBRevenue,totalShare,liqaShare,code,pubDate,statDate,NRTurnRatio,NRTurnDays,INVTurnRatio,INVTurnDays,CATurnRatio,AssetTurnRatio,code,pubDate,statDate,YOYEquity,YOYAsset,YOYNI,YOYEPSBasic,YOYPNI,code,pubDate,statDate,currentRatio,quickRatio,cashRatio,YOYLiability,liabilityToAsset,assetToEquity,code,pubDate,statDate,CAToAsset,NCAToAsset,tangibleAssetToAsset,ebitToInterest,CFOToOR,CFOToNP,CFOToGr,code,pubDate,statDate,dupontROE,dupontAssetStoEquity,dupontAssetTurn,dupontPnitoni,dupontNitogr,dupontTaxBurden,dupontIntburden,dupontEbittogr
sz000001,2014-04-24,2014-03-31,0.044066,0.313913,,5054000000.000000,1.753644,,9520745656.00,5575901875.00,sz000001,2014-04-24,2014-03-31,,,,,,0.008073,sz000001,2014-04-24,2014-03-31,0.321556,0.157821,0.408192,0.204545,0.408192,sz000001,2014-04-24,2014-03-31,,,,0.149384,0.944066,17.878107,sz000001,2014-04-24,2014-03-31,,,,,3.732733,11.890977,3.732733,sz000001,2014-04-24,2014-03-31,0.044066,17.389596,0.008073,1.000000,0.313913,0.754666,,
sz000001,2015-04-24,2015-03-31,0.042062,0.272314,,5629000000.000000,1.783561,,11424894787.00,9836712150.00,sz000001,2015-04-24,2015-03-31,,,,,,0.009205,sz000001,2015-04-24,2015-03-31,0.165422,0.099029,0.113771,0.108108,0.113771,sz000001,2015-04-24,2015-03-31,,,,0.095095,0.940687,16.859602,sz000001,2015-04-24,2015-03-31,,,,,0.556093,2.042103,0.556093,sz000001,2015-04-24,2015-03-31,0.042062,16.780062,0.009205,1.000000,0.272314,0.756891,,
sz000001,2016-04-21,2016-03-31,0.034870,0.221052,,6086000000.000000,1.560033,,14308676139.00,11804054579.00,sz000001,2016-04-21,2016-03-31,,,,,,0.010613,sz000001,2016-04-21,2016-03-31,0.372081,0.163304,0.081187,0.048780,0.081187,sz000001,2016-04-21,2016-03-31,,,,0.150140,0.930042,14.294233,sz000001,2016-04-21,2016-03-31,,,,,2.152695,9.738416,2.152695,sz000001,2016-04-21,2016-03-31,0.034870,14.863262,0.010613,1.000000,0.221052,0.758002,,
sz000001,2017-04-22,2017-03-31,0.030319,0.224235,,6214000000.000000,1.323614,,17170411366.00,16917989651.00,sz000001,2017-04-22,2017-03-31,,,,,,0.009300,sz000001,2017-04-22,2017-03-31,0.107534,0.121231,0.021032,-0.114286,0.021032,sz000001,2017-04-22,2017-03-31,,,,0.122262,0.930896,14.471019,sz000001,2017-04-22,2017-03-31,,,,,-4.150115,-18.507885,-4.150115,sz000001,2017-04-22,2017-03-31,0.030319,14.538872,0.009300,1.000000,0.224235,0.755043,,
sz000001,2018-04-20,2018-03-31,0.029611,0.235317,,6595000000.000000,1.372710,,17170411366.00,16917983372.00,sz000001,2018-04-20,2018-03-31,,,,,,0.008509,sz000001,2018-04-20,2018-03-31,0.075345,0.110564,0.061313,0.064516,0.061313,sz000001,2018-04-20,2018-03-31,,,,0.113178,0.933088,14.944971,sz000001,2018-04-20,2018-03-31,,,,,1.478698,6.283851,1.478698,sz000001,2018-04-20,2018-03-31,0.029611,14.787563,0.008509,1.000000,0.235317,0.769814,,
sz000001,2019-04-24,2019-03-31,0.030331,0.229277,,7446000000.000000,1.494955,,17170411366.00,17170246773.00,sz000001,2019-04-24,2019-03-31,,,,,,,sz000001,2019-04-24,2019-03-31,0.123313,0.057392,0.129037,0.151515,0.129037,sz000001,2019-04-24,2019-03-31,,,,0.052665,0.928916,14.067937,sz000001,2019-04-24,2019-03-31,,,,,1.637640,7.142627,1.637640,sz000001,2019-04-24,2019-03-31,0.030331,14.152862,,1.000000,0.229277,0.769931,,
sz000001,2020-04-21,2020-03-31,0.025695,0.225386,,8548000000.000000,1.509694,,19405918198.00,19405752680.00,sz000001,2020-04-21,2020-03-31,,,,,,,sz000001,2020-04-21,2020-03-31,0.404152,0.170563,0.147999,0.052632,0.147999,sz000001,2020-04-21,2020-03-31,,,,0.152688,0.914731,11.727655,sz000001,2020-04-21,2020-03-31,,,,,0.474318,2.104469,0.474318,sz000001,2020-04-21,2020-03-31,0.025695,12.131230,,1.000000,0.225386,0.780069,,
sz000001,2021-04-21,2021-03-31,0.027505,0.242462,,10132000000.000000,1.572304,,19405918198.00,19405754475.00,sz000001,2021-04-21,2021-03-31,,,,,,0.009244,sz000001,2021-04-21,2021-03-31,0.057505,0.106642,0.185307,0.050000,0.185307,sz000001,2021-04-21,2021-03-31,,,,0.111222,0.918518,12.272586,sz000001,2021-04-21,2021-03-31,,,,,-0.276467,-1.140249,-0.276467,sz000001,2021-04-21,2021-03-31,0.027505,12.272158,0.009244,1.000000,0.242462,0.787013,,
sz000001,2022-04-27,2022-03-31,0.032060,0.278096,,12850000000.000000,2.012479,,19405918198.00,19405521950.00,sz000001,2022-04-27,2022-03-31,,,,,,0.009205,sz000001,2022-04-27,2022-03-31,0.090060,0.119173,0.268259,0.333333,0.268259,sz000001,2022-04-27,2022-03-31,,,,0.121756,0.920637,12.600355,sz000001,2022-04-27,2022-03-31,,,,,3.184085,11.449572,3.184085,sz000001,2022-04-27,2022-03-31,0.032060,12.523754,0.009205,1.000000,0.278096,0.793994,,
sz000001,2014-08-14,2014-06-30,0.086447,0.289984,,10072000000.000000,1.555550,34733000000.000000,11424894787.00,6691058620.00,sz000001,2014-08-14,2014-06-30,,,,,,0.017245,sz000001,2014-08-14,2014-06-30,0.321142,0.169391,0.337405,0.142857,0.337405,sz000001,2014-08-14,2014-06-30,,,,0.161386,0.943393,17.665578,sz000001,2014-08-14,2014-06-30,,,,,1.538134,5.304210,1.538134,sz000001,2014-08-14,2014-06-30,0.086447,17.286923,0.017245,1.000000,0.289984,0.755702,,
